,equity
0,200000.0
1,199991.14990234375
2,199981.76208496094
3,199989.3621826172
4,199979.3621826172
5,200070.2618408203
6,200062.7618408203
7,200054.111328125
8,200071.86096191406
9,200087.9608154297
10,200084.65087890625
11,200069.3524169922
12,200044.70275878906
13,200056.40258789062
14,200045.05249023438
15,200031.40258789062
16,200061.10290527344
17,200059.60327148438
18,200020.10375976562
19,200001.35375976562
20,199980.5535888672
21,199969.3536376953
22,200077.10388183594
23,200068.00415039062
24,200057.90405273438
25,200014.32983398438
26,200001.42944335938
27,199986.72973632812
28,199985.2294921875
29,199959.92919921875
30,199954.22912597656
31,199941.0791015625
32,199928.67919921875
33,199939.5281982422
34,199930.32836914062
35,199901.62841796875
36,199906.42822265625
37,199940.42846679688
38,199918.02856445312
39,199906.328125
40,199891.67846679688
41,199872.2784423828
42,199889.62829589844
43,199886.12854003906
44,199872.82836914062
45,199856.62841796875
46,199901.73828125
47,199948.40454101562
48,199911.1456298828
49,199896.54541015625
50,199883.9422607422
51,199843.74267578125
52,199831.54235839844
53,199823.9422607422
54,199834.34204101562
55,199825.44189453125
56,199865.5419921875
